generator,reward_model,split_seed,price_per_million,policy,gain_factor,cost_beta,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,73,1.0,current_beta0,1.0,0.0,75,0.43829800139055736,0.5011000807575293,43490.165,104.98,0.4576099157575293,4.406115087384013,1.0
gemma3_4b,fsfairx_llama3_rm,73,1.0,current_beta1,1.0,1.0,75,0.43829800139055736,0.5011798274710281,43980.965,105.9875,0.4571988624710281,4.312331112737292,0.9875518748176839
gemma3_4b,fsfairx_llama3_rm,73,1.0,current_beta2,1.0,2.0,75,0.43829800139055736,0.5018167616124027,44461.88,106.9875,0.45735488161240273,4.347927702472963,0.9757072391186106
gemma3_4b,fsfairx_llama3_rm,73,1.0,top2_factor4_beta0,4.0,0.0,75,0.43829800139055736,0.5649219205749728,202326.205,361.0175,0.36259571557497283,-17.27187565889171,1.0
gemma3_4b,fsfairx_llama3_rm,73,1.0,top2_factor4_beta2,4.0,2.0,75,0.43829800139055736,0.5652369935518315,204148.5725,363.8475,0.3610884210518316,-17.61577285175117,0.9878194441129802
gemma3_4b,fsfairx_llama3_rm,73,1.0,top2_factor1_beta2,1.0,2.0,75,0.43829800139055736,0.512400496840835,65814.355,151.1775,0.446586141840835,1.89098294402038,0.9791968521407665
gemma3_4b,fsfairx_llama3_rm,73,1.0,top2_factor0p25_beta2,0.25,2.0,75,0.43829800139055736,0.43933792164701124,20706.795,49.0825,0.41863112664701124,-4.48710116887378,0.9636601511722975
gemma3_4b,fsfairx_llama3_rm,73,2.0,current_beta0,1.0,0.0,40,0.4031763710402309,0.4658141143060266,23467.4675,58.0125,0.4188791793060266,3.89477394850324,1.0
gemma3_4b,fsfairx_llama3_rm,73,2.0,current_beta1,1.0,1.0,40,0.4031763710402309,0.4658141143060266,23783.72,58.7975,0.4182466743060266,3.7378934749853885,0.9832053522087043
gemma3_4b,fsfairx_llama3_rm,73,2.0,current_beta2,1.0,2.0,40,0.4031763710402309,0.467167824539756,24151.3225,59.6025,0.41886517953975605,3.8913015807564864,0.9675189409864493
gemma3_4b,fsfairx_llama3_rm,73,2.0,top2_factor4_beta0,4.0,0.0,40,0.4031763710402309,0.5417568088655406,114623.3875,230.6325,0.31251003386554055,-22.488008645140376,1.0
gemma3_4b,fsfairx_llama3_rm,73,2.0,top2_factor4_beta2,4.0,2.0,40,0.4031763710402309,0.5435604491463494,116778.44,233.7375,0.3100035691463494,-23.10968811329081,0.9842757175176707
gemma3_4b,fsfairx_llama3_rm,73,2.0,top2_factor1_beta2,1.0,2.0,40,0.4031763710402309,0.4754415258414336,36772.0025,88.48,0.4018975208414336,-0.3171937371968905,0.9724942690539489
gemma3_4b,fsfairx_llama3_rm,73,2.0,top2_factor0p25_beta2,0.25,2.0,40,0.4031763710402309,0.4085970082065964,11870.06,27.8825,0.3848568882065964,-4.543788810432664,0.9536730009901123
