generator,split,target_quality,adaptive_divisor_low,adaptive_divisor_high,adaptive_high_weight,target_reached_train,fixed_quality,adaptive_quality,quality_gap,fixed_chars,adaptive_chars,direct_char_saving_pct,matched_fixed_chars,matched_char_saving_pct
mistral_7b,30,0.45,1000000.0,2000000.0,0.12463556756148149,True,0.47084544865701417,0.47959275610920693,0.008747307452192765,66418.8824574044,62827.73276770291,5.406820405333612,79412.38135086554,20.884210120695332
mistral_7b,30,0.5,2000000.0,5000000.0,0.1586396360147047,True,0.5034845438513916,0.5262243634885779,0.022739819637186298,115031.47469983864,120999.35808036025,-5.188043877637939,165210.7633520041,26.760608313058523
mistral_7b,30,0.55,2000000.0,5000000.0,0.9346778862896621,True,0.5456299362106344,0.5673478911845503,0.02171795497391593,229810.9187596823,224487.4713827314,2.3164466708902274,312991.03045423917,28.27670778394636
mistral_7b,30,0.6,5000000.0,10000000.0,0.964100098114619,True,0.592139417441161,0.5958040014482358,0.0036645840070747004,472200.4310040402,398730.06269083364,15.55914893109827,504005.20267959347,20.887708981783152
mistral_7b,31,0.3,50000.0,75000.0,0.21236927774508715,True,0.28103134210169034,0.2857208352272863,0.004689493125595967,7331.837328421886,7066.030589699832,3.625376925530712,7725.672431782901,8.538309744655328
mistral_7b,31,0.35,100000.0,200000.0,0.5716905681940804,True,0.3352558299436473,0.3403841020697155,0.005128272126068201,13562.624018627484,12748.512648136086,6.002609593639575,14407.157943132375,11.512647404458663
mistral_7b,31,0.4,200000.0,500000.0,0.6639968584706899,True,0.38481893888513086,0.3963868827682824,0.011567943883151521,25839.443951094712,25401.087274151225,1.6964632744154544,29338.034738285773,13.419261035221558
mistral_7b,31,0.45,500000.0,1000000.0,0.6502372431570652,True,0.4324686952343648,0.4440660000622769,0.011597304827912103,46614.177730734555,44163.083956266375,5.258258096124427,52891.664447297546,16.502752526777687
mistral_7b,31,0.5,2000000.0,5000000.0,0.029259640170499944,True,0.4907028549552338,0.51032209928082,0.01961924432558615,96717.52567773231,90557.81975973945,6.368758789919124,127488.91888565538,28.968085578511637
mistral_7b,31,0.55,5000000.0,10000000.0,0.10773306805737244,True,0.5398061614107469,0.5718309732638913,0.03202481185314443,196044.41563897353,227109.030526615,-15.845702508990954,338524.91853359493,32.91216743795571
mistral_7b,31,0.6,10000000.0,20000000.0,0.273504720647806,True,0.5937932746736538,0.6136477636591787,0.019854488985524887,469681.5900519387,572493.6186011939,-21.889729281892,750101.2260910576,23.677818581288825
mistral_7b,32,0.3,50000.0,75000.0,0.9266545586068203,True,0.3027834917062366,0.30525446813330637,0.002470976427069782,9593.553275468388,8135.455295131693,15.198727087545217,9947.374705791251,18.215051350228915
mistral_7b,32,0.35,100000.0,200000.0,0.7807527694251337,True,0.34899778565444506,0.3515111840279016,0.0025133983734565435,16197.837517181442,13906.72003772607,14.144588603417755,16741.20386224059,16.931182774182886
mistral_7b,32,0.4,200000.0,500000.0,0.6298594434540338,True,0.3928661907853843,0.39577070221787625,0.0029045114324919297,26824.568474777647,23608.074210125542,11.99085184791129,27975.715874949754,15.612260591819643
mistral_7b,32,0.45,500000.0,1000000.0,0.7583965320401213,True,0.44182821193920524,0.4533256823070748,0.011497470367869578,47982.07624550404,44102.54724384166,8.085371257826493,53775.03695553428,17.98695130547403
mistral_7b,32,0.5,1000000.0,2000000.0,0.9457518234070819,True,0.4951026242648618,0.5001618839730896,0.005059259708227792,101473.76530579872,84456.36751871135,16.770243752958386,106995.26044836515,21.06531900123823
mistral_7b,32,0.55,2000000.0,5000000.0,0.9278339505760381,True,0.5565976747953715,0.5604656219441985,0.003867947148826989,238355.1218978245,193122.21302938624,18.977107984206945,257116.9805797151,24.889358690367896
mistral_7b,32,0.6,10000000.0,20000000.0,0.09933522228410328,True,0.6090553201658713,0.6060625670259995,-0.0029927531398717955,604200.6821638088,454560.0830714991,24.7667047571687,574365.4335028742,20.858732688824947
